rid,key,def
英数モードに切り替えて入力する手間が省けて便利です。同様に F10 キーを押すと半角の英字に変換します。|

|ime__:input_kigou|,|記号の入力|,|"？" などキーボードに書かれている記号は、直接キーを押して入力できます。
"！" のようにキーの上の段に書かれている記号は、Shift キーを押しながらキーを押して入力します。
キーボードにない記号は、"きごう"、"かっこ"、"やじるし"、"いち" などと入力し、漢字と同じように変換して入力できます。このほかにも、さまざまな記号や特殊文字を読みを入力して変換することができます。詳しくは「特殊文字入力の一覧」のトピックを参照してください。|

|ime__:katakana_mode|,|カタカナモード|,|入力した読みをカタカナで表示する状態。IME ツール バーの [入力モード] をクリックし、[全角カタカナ] や [半角カタカナ] をクリックすると、カタカナモードになります。|

|ime__:select_list|,|ほかの候補の選択|,|ほかの候補に変える漢字を、← キーや → キー、クリックで選択し、[変換] キーを続けて押します。また、ほかの候補に変える漢字で右クリックして候補一覧を表示します。
表示された候補一覧からは、↑ キーや ↓ キー、Home キー、End キー、候補の左の数字に該当する数字キー、候補のダブルクリックで選択できます。
なお、数字キーで候補を選択できるのは、[Microsoft Office IME 2010 のプロパティ] ダイアログ ボックスの [変換] タブの [メイン キーボードの数字キーで候補を選択する] チェック ボックスをオンにしているときです。|

|ime__:cancel_input|,|入力の取り消し|,|Esc キーを押します。|

|ime__:hiragana_exchange|,|ひらがな変換|,|F6 キーを押して、選択した読みをひらがなに変換します。
もう一度 F6 キーを押すと、選択した読みの先頭からカタカナに変換します。|

|ime__:katakana_exchange|,|カタカナ変換|,|F7 キーを押して、選択した読みをカタカナに変換します。
もう一度 F7 キーを押すと、選択した読みの最後の文字からひらがなに変換します。|

|ime__:insert_yomi|,|読み文字の挿入|,|← キーや → キーを使って、挿入する位置にカーソルを移動した後、読みを入力します。|

|ime__:eiji_exchange|,|英字変換|,|英字どおりに入力し、F9 キーを押して全角の英字に変換します。この後 F9 キーを押すたびに、次のように変わります。
