event, bubbles:BOOLEAN, cancancel:BOOLEAN, applies
'onbeforeupdate',True,True,'bound elements'
'onafterupdate',True,False,'bound elements'
'onrowenter',True,False,'DSO'
'onrowexit',True,True,'DSO'
'onbeforeunload',False,False,'window'
'ondataavailable',True,False,'DSO'
'ondatasetcomplete',True,False,'DSO'
'ondatasetchanged',True,False,'DSO'
'onerrorupdate',True,True,'bound elements'
'onreadystatechange',True,False,'DSO'
